Date,Issuer,Symbol,Lead/Joint-Lead  Managers,Offer Price,Opening Price,1st Day Close,1st Day % Px Chng ,$ Change Opening,$ Change Close,Star Ratings,Performed
2008/1/28 0:00,ATA ,ATAI,Merrill Lynch ,9.5,9.5,8.75,-0.078947368,0,-0.75,2,Missed
2008/1/28 0:00,Cascal B.V.,HOO,JPMorgan/Credit Suisse,12,12,12,0,0,0,1,
2008/1/30 0:00,Overture Acquisition ,NLX-U,JPMorgan,10,9.75,9.82,-0.018,-0.25,-0.18,1,
2008/2/7 0:00,BBV Vietnam S.E.A. Acuisition ,BBVUF,Ladenburg Thalmann/Chardan Capital Markets,8,8,8.25,0.03125,0,0.25,1,
2008/2/14 0:00,ArcSight ,ARST,Morgan Stanley/Lehman Brothers,9,9,8.78,-0.024444444,0,-0.22,2,Missed
2008/2/14 0:00,MAKO Surgical ,MAKO,JPMorgan/Morgan Stanley,10,10,9.18,-0.082,0,-0.82,1,
2008/2/14 0:00,GHL Acquisition,GHQ-U,Banc of America,10,9.75,9.7,-0.03,-0.25,-0.3,1,
2008/2/19 0:00,BioHeart ,BHRT,Dawson James Securities,5.25,5.25,5,-0.047619048,0,-0.25,1,
2008/2/26 0:00,BPW Acquisition,BPW-U,Citi,10,10,9.8,-0.02,0,-0.2,1,
2008/2/27 0:00,Spring Creek Acquisition ,SCRUF,EarlyBirdCapital,8,8.1,8.15,0.01875,0.1,0.15,1,
2008/3/10 0:00,Hambrecht Asia Acquisition,HMAUF,Broadband Capital Management LLC,8,8.15,8.13,0.01625,0.15,0.13,1,
2008/3/11 0:00,Heritage-Crystal Clean ,HCCI,William Blair/Piper Jaffray,11.5,14,14.19,0.233913043,2.5,2.69,2,
2008/3/18 0:00,CardioNet ,BEAT,Citi,18,18,17.7,-0.016666667,0,-0.3,1,
2008/3/18 0:00,Visa ,V,JPMorgan/ Goldman Sachs,44,59.5,56.5,0.284090909,15.5,12.5,4,
2008/3/18 0:00,Healthy Fast Food ,HFFIU,Paulson Investment Company,5.1,5.25,5.25,0.029411765,0.15,0.15,1,
